[INFO ] 2015-12-29 14:05:07,159 razborpoletov.reader.parsers.StatisticParser - Parse 2011-12-23-episode-4-spring.html statistic
[INFO ] 2015-12-29 14:05:36,661 razborpoletov.reader.parsers.StatisticParser - Parse 2011-12-29-episode-5.html statistic
[INFO ] 2015-12-29 14:05:53,907 razborpoletov.reader.parsers.StatisticParser - Parse 2012-01-07-episode-6-pirates-of-silicon-valley.html statistic
[INFO ] 2015-12-29 14:06:10,440 razborpoletov.reader.parsers.StatisticParser - Parse 2012-01-18-episode-7.html statistic
[INFO ] 2015-12-29 14:06:27,916 razborpoletov.reader.parsers.StatisticParser - Parse 2012-01-30-episode-8.html statistic
[INFO ] 2015-12-29 14:07:02,324 razborpoletov.reader.parsers.StatisticParser - Parse 2012-02-06-episode-9.html statistic
[INFO ] 2015-12-29 14:07:11,508 razborpoletov.reader.parsers.StatisticParser - Parse 2012-02-16-episode-10.html statistic
[INFO ] 2015-12-29 14:07:23,874 razborpoletov.reader.parsers.StatisticParser - Parse 2012-02-24-episode-11.html statistic
[INFO ] 2015-12-29 14:07:37,392 razborpoletov.reader.parsers.StatisticParser - Parse 2012-03-02-episode-12.html statistic
[INFO ] 2015-12-29 14:08:23,959 razborpoletov.reader.parsers.StatisticParser - Parse 2012-03-09-episode-13.html statistic
[INFO ] 2015-12-29 14:08:36,730 razborpoletov.reader.parsers.StatisticParser - Parse 2012-03-24-episode-14.html statistic
[INFO ] 2015-12-29 14:08:50,817 razborpoletov.reader.parsers.StatisticParser - Parse 2012-04-07-episode-14-part-2-golden-sucks.html statistic
[INFO ] 2015-12-29 14:09:04,609 razborpoletov.reader.parsers.StatisticParser - Parse 2012-04-14-episode-15.html statistic
[INFO ] 2015-12-29 14:09:18,450 razborpoletov.reader.parsers.StatisticParser - Parse 2012-04-21-episode-16-54.html statistic
[INFO ] 2015-12-29 14:09:30,796 razborpoletov.reader.parsers.StatisticParser - Parse 2012-05-12-episode-17.html statistic
[INFO ] 2015-12-29 14:09:38,961 razborpoletov.reader.parsers.StatisticParser - Parse 2012-05-22-episode-18.markdown statistic
[INFO ] 2015-12-29 14:09:50,787 razborpoletov.reader.parsers.StatisticParser - Parse 2012-05-31-episode-19.markdown statistic
[INFO ] 2015-12-29 14:10:04,239 razborpoletov.reader.parsers.StatisticParser - Parse 2012-06-09-episode-20.markdown statistic
[INFO ] 2015-12-29 14:10:18,925 razborpoletov.reader.parsers.StatisticParser - Parse 2012-06-10-episode-21.markdown statistic
[INFO ] 2015-12-29 14:10:31,209 razborpoletov.reader.parsers.StatisticParser - Parse 2012-07-02-episode-22.markdown statistic
[INFO ] 2015-12-29 14:10:44,426 razborpoletov.reader.parsers.StatisticParser - Parse 2012-07-17-episode-23.markdown statistic
[INFO ] 2015-12-29 14:10:51,561 razborpoletov.reader.parsers.StatisticParser - Parse 2012-09-11-episode-24.markdown statistic
[INFO ] 2015-12-29 14:11:00,653 razborpoletov.reader.parsers.StatisticParser - Parse 2012-10-03-episode-25.markdown statistic
[INFO ] 2015-12-29 14:11:10,205 razborpoletov.reader.parsers.StatisticParser - Parse 2012-10-04-episode-26.markdown statistic
